Name,Location,Nearby,Description
Jetha Ganesh Temple,"Kumha Tole, Pottery Square, Bhaktapur.
27.670098, 85.427818","Taumadhi Square; a place that holds an image of the entire Bhaktapur
206.88 m
Ranipokhari of Bhaktapur
1.27 km
Pottery Square of Bhaktapur: the ground of clay arts
47.74 m
Bhaktapur Durbar Square: One Open Museum Of Nepal
288.99 m","The Jestha/Jetha Ganesh temple of pottery square dates back to the year 1646. Unlike other temples around, the Jetha Ganesh temple was not built by any king or the prince. Instead, it is said that it was donated by a wealthy person.
The architecture of the temple seems normal to us cause it’s a two-storeyed pagoda styled temple. But the importance of it does not rely on its normal architectural design. This temple is extraordinary because of the images of Astamatrika and Astabhairava. They are beautifully carved on the temple’s struts, which is very rare to find in any temple, even in the entire Kathmandu Valley.
Astamatrika at Jetha Ganesh temple
Moreover, each year during the Biska Jatra,  a Lyo Sin Dyo without arms (Lha maru Lyo Sin Dyo) is raised on the premises of this temple."
Uma Maheshwor temple,"Jagannath tole, Bhaktapur, Nepal
27.672393, 85.430169","Taumadhi Square; a place that holds an image of the entire Bhaktapur
139.61 m
Tadhuchhen Bahal
100.54 m
Pottery Square of Bhaktapur: the ground of clay arts
388.88 m
Jagannath temple of Tulachhen
22.07 m","There are two temples of Uma Maheshwor in Bhaktapur. One among them is located on the way to the Sukuldhokha from Balakhu Ganesh temple. To be more precise, it is exactly located behind the Araniko Assembly Hall.
Uma maheshwor temple before the restoration  PC: Sunil Rajbhandari
This Uma Maheshwor temple is made off of stones and it was once somehow impacted by the plants of the pipal. Until the renovation, the temple was half overlaid by the trees. It almost looked like the trees were the roof of this temple. But today, we can clearly see the pinnacle of this temple.
The temple is one of the most artistic temples of Bhaktapur that were made in a Shikhara Style. Cause, unlike other temples, it is full of pristine carvings, especially on the pillars.
There is an image of Uma Maheshwor in the sanctum of the temple. The image of this temple was once stolen after the worshipping was totally stopped there.
It is said that the temple was first made during the reign of Prana Malla."
Bhajyapukhu of Bhaktapur,"Bhaktapur Municipality, Bhaktapur District, Nepal.
27.670663, 85.421144","National Art Museum; the Simhadhwaka Durbar of Bhaktapur
743.02 m
Siddha Pokhari; the biggest manmade pond of Bhaktapur
199.21 m
Ranipokhari of Bhaktapur
613.03 m
Bhaktapur Durbar Square: One Open Museum Of Nepal
495.36 m","Bhajyapukhu or Bhajupokhari of Bhaktapur is recently renovating under the act of Bhaktapur Municipality. This pond seems like a hidden pond of Bhaktapur cause it is labelled beside the line of various restaurants and local residences. But it is very easy to locate this pond. 
It lies right behind the Shiddhapokhari of Bhaktapur, on the southern arena. All you need to do is cross the road toward the south of Shiddhapokhari. Make the traditional pati to your right( which has a small outdoor shop) and keep going. Within a few steps, you would be standing on the northeast corner of the Bhajupokhari.
People used to play football in the pond, lightly a few years back because there was no water in this pond. It was totally dried up and was only limited in the name of the history of Bhaktapur. Even, in the history of Bhaktapur, there is no accurate information about this pond.
Regarding Culture Activist, Om Dhaubhadel, Bhajupokhari was built by a general commander of King Jitamitra Malla, Bhagiram Pradhananga (Bhaju Kasaju/ Bhaju Kasa). By whom’s name, the pond is named Bhajuya Pukhu which means the pond of Bhaju. Later, it started to be called Bhajupukhu and then Bhajyapukhu. However, people also prefer to call it Bhajupokhari which all means the pond named by Bhaju.
Since there is no exact information regarding the erection period of the pond, considering the life ventures of Bhaju Kasa, it is guessed that it probably was built during N.S. 811/812. However, it is no sure date of its erection.
For the reconstruction of the pond, some pre-research and excavation work was also held in that area by the team of Historian and Culture Activist Dr Purushottam Lochan Shrestha. Surprisingly, some facts regarding the preceding temple and its antiquity have been unveiled. 
As per the study, there used to be a shikhara styled temple with an image of Jaleshwor. The temple is said to be built in the middle of the pond just like in the Ranipokhari of Kathmandu.
Likewise, it is assumed that the Bhajupokhari of Bhaktapur was made to replicate the Ranipokhari of Kathmandu. More or less, it is also believed that an earthquake ruined the pond along with its history, making it still a mystery."
Tripurasundari Dhungedhara (the stone conduit of Tripurasundari),"Tulachhen, Bhaktapur
27.672749, 85.430244","Taumadhi Square; a place that holds an image of the entire Bhaktapur
172.85 m
The image of Chatur Narayan
34.74 m
Tadhuchhen Bahal
132.87 m
Jagannath temple of Tulachhen
24.45 m","The rectangular water conduit near Tripurasundari Temple is well known as the Dhungedhara (Lohahiti) of Tripurasundari. It is located at Tulachhen (north of the Jagannath temple of Tulachhen). Though the conduit is not functioning nowadays, it must have had great significance in past. Near the conduit, there is a pati (north side) which states that the conduit was built in N.S. 589 (1468 A.D.) by King Yakshya Malla.
Besides the extremely beautiful water conduit, there is a statue of Goddess Gajalaxmi, Vaikuntha Narayan Vishnu and a Shivalinga. This particular dhungedhara is also best known for one of the best images of Bhagirath."
Jagannath temple of Tulachhen,"Tulachhen, Bhaktapur
27.672578, 85.430088","Tadhuchhen Bahal
108.45 m
The image of Chatur Narayan
29.13 m
Bhaktapur Durbar Square: One Open Museum Of Nepal
414.99 m","Bhaktapur, without an unspecified reason, is not designated as the city of temples. You see, each corner of the path and chowks of Bhaktapur contains some kind of shrine. Somewhence, you would also find temples with different architecture but of the same names. Referring to this case, you can find one Jagannath temple in Durbar Square and another one at Tulachhen.
The temple of Jagannath which lies at Tulachhen is also one of the important temples of Bhaktapur. After witnessing a pillar with fine Garuda’s statue and big plinths, historians somehow assumed that it must be a grand temple. Though, today the temple is only one-storeyed but is able to protect the beautiful images of Jagannath.
The image of Jagannath
In the temple, the statue of Krishna is represented as Balbhadra Jagannath and is in Nil Varna which means Blue in colour. Likewise, the statue of Subhadra and Balaram( Baladev) are in Rakta Varna and Sweta Varna respectively.
Jagannath, Subhadra and baladev
As per the foundation of the temple, it is stated that it was built during the reign of King Prana Malla in N.S.663. Also, it was assumed to be built in Shikhara style.
However, we do now see the structure of the temple built after the quake of 1990."
The image of Chatur Narayan,"Tulachhen, Bhaktapur
27.672450, 85.430346","Tadhuchhen Bahal
118.45 m
Sundhara; the golden conduit of Bhaktapur Durbar Square
163.81 m
Annapurna ; the red temple of Bhaktapur Durbar Square
154.66 m
Bhaktapur Durbar Square: One Open Museum Of Nepal
438.6 m","This image of Chatur Narayan (the four Narayan) is located right in front of the Jagannath temple of Tulachhen.  Most people tend to call this place, Markandaya Talau too, correlating to the Jagannath temple’s glory. By the style of the statue, it is assumed that it must be made during the 15th century.
The Lord Vishnu (Narayan) in this statue is in Samabhangaasan holding a lotus (Padma), the Indestructible Mace Of Lord Vishnu (Kaumodaki), a conch (Shankha) and the Unstoppable Disc Of Lord Vishnu (Sudarshana Chakra) in each of his four hands. Perhaps, because the place was once called a Talau (lake), the image of that Chatur Narayan is also worshipped as Jalhari. However,  to this day, regular puja is not conducted over there."
Digu Bhairava Temple,"Digu Tole, Madhyapur Thimi, Bhaktapur
27.679148, 85.385708","Siddhi Kali Temple
314.1 m
Shree 3 Vishnu Bir mai Temple (Sungaa Dyo)
366.77 m
Nigoo pukhu(Dui pokhari);literally means the 2 ponds
118.53 m
Gunakriti Mahavihar
57.49 m","Digu Bhairava Temple is one of the most prominent temples of Digu tole, thimi. The locals worship Digu Bhairava as their linage deity. Thus, the southern door of the temple is always kept open for the populace while the other door (the eastern one) is open on bare occasions.
It is a two-storeyed temple made in N.S. 600 (B.S. 1536) and one can easily reach over there. All you need to do is follow the same main road of thimi. Nearby, you could also find the temple of Digu Ganesha, Brihaspati, Narayan, Mahadeva, Chaitya, Dabalis and Patis.
Well, on one of those pati, one of the famous jatras of thimi, the tongue piercing one takes place that in each year after the day of Yenya Punhi (Indra jatra). Also, the temple is whirled by the palanquins during Biska jatra, stating that it is one of the most important temples of Thimi."
Bakhachhen Mahadev Temple and Siwa Ganesh temple,"Tahanani Road, Madhyapur thimi municipality, Bhaktapur District, Nepal.
27.677666, 85.386782","Siddhi Kali Temple
500.57 m
Thimi Layaku; the cultural center of Thimi
70.53 m
Nigoo pukhu(Dui pokhari);literally means the 2 ponds
95.79 m
Gunakriti Mahavihar
220.38 m","The inscription found near this, Bakhachhen Mahadev temple states that it was built in N.S. 561 (1498 B.S.) which also made this temple, the oldest heritage site of Thimi. It is situated at Siwatole of Thimi. Around 110m east from the main road of Thimi and Thimi Layaku area.
It is a two-storeyed temple made in the pagoda style, facing toward the west. The gold-glided pinnacle, Shivalinga and traditional roofing style of this temple give an obsolete faithful vibe. 
beautiful toran of Bakhachhen Mahadev temple
Nearby, there is another temple designed in the same outlet, named Siwa Ganesha temple. But, it is faced toward the south. By the architectural state, one can determine that it looks older than the other one.
However, it doesn’t end the number of temples located in that area. There is also a temple of Gaurishankhar, Bhairava, Siddhi Ganesha, Bu: Mahadyo (self emerged Mahadev), Golakhu Dyo (the nine deities) including various statues of god and goddesses which are both historically and culturally important.
Along with that, there is a pati, a dabali, Kunda (pond), dhungedhara (stone spout) and a chaitya.
Pati on the premises of Bakhachhen Mahadev and Siwa Ganesh temple
water spout near Siwa Ganesh temple
Source: Gantabya Madhyapur Thimi"
Gunakriti Mahavihar,"Madhyapur thimi municipality, Bhaktapur District, Nepal.
27.679547, 85.386079","Balkumari Temple of Thimi; a temple in the middle of the city
432.79 m
Thimi Layaku; the cultural center of Thimi
238.86 m
Nigoo pukhu(Dui pokhari);literally means the 2 ponds
161.16 m
Siddhi Kali Temple
324.02 m
Mahalaxmi temple of Bode
1.34 km","Gunakriti Mahavihar is one of the ancient Vihars of Madhyapur Thimi. Being located at Digu Tole made it also called Digu Baha. To reach over there, all you have to do is follow the main road of thimi towards the north, until and at the end you see this Mahavihar on your right-hand side. 
Well, the inscriptions found here state that this Vihar is way older. As per the inscription, it was once renovated in N.S. 808. Likewise, the two golden images of Dipankar Buddha (one small and another big) was installed there in N.S. 684 (B.S.1621) and N.S. 689 (B.S. 1626).
Do you know that those images of Dipankar Buddha are roamed around in Thimi, Nagadesh and Bode on the day of Panchadan? That event is called Dipankar Jatra.
Besides, there is a  chaitya in this Mahavihar that is made anciently, recalling the lichhavi style of architecture. It apparently is the best thing to observe over there. However, there is one more statue of Bauddha Guru Padmasambhava which make this Vihar even more attractive.
Source: Gantabya Madhyapur thimi"
Vishnu Kunda (Sungaa Pukhu),"Madhyapur thimi municipality, Bhaktapur District, Nepal.
27.677210, 85.383840","Siddhi Kali Temple
401.14 m
Shree 3 Vishnu Bir mai Temple (Sungaa Dyo)
113.61 m
Nigoo pukhu(Dui pokhari);literally means the 2 ponds
229.81 m
Mahalaxmi temple of Bode
1.67 km","Vishnu Kunda or Sungaa Pukhu is a historical pond that remained dry for so long. But in the year, 2075 it was again restored traditionally.
Though this pond is not as big as Nigoo Pukhu, it had some sort of religious significance. In past, there used to hold a grand mela on the day of Gatha Muga cha: re.
This pond is about 600 m ahead (towards north) from Chardobato chowk. And, nearby there is a Compost Mal Kendra which produces agricultural chemicals using Japanese technology. That’s why many national and international groups visit this area for study purposes."
Shree 3 Vishnu Bir mai Temple (Sungaa Dyo),"Madhyapur thimi municipality, Bhaktapur District, Nepal.
27.676203, 85.384033","Balkumari Temple of Thimi; a temple in the middle of the city
135.69 m
Nil Barahi Temple
2.46 km
Nigoo pukhu(Dui pokhari);literally means the 2 ponds
283.01 m
Mahalaxmi temple of Bode
1.76 km
Lokeshwor Temple (Hiranyavarna Mahavihar)
161.25 m","Shree 3 Vishnu Bir Mai temple is one of the mattering temples of Thimi which is situated at Sungaa tole of Madhyapur Thimi. Perhaps, that’s why the temple is also called Sungaa Dyo. Or, maybe because of the name of Sungaa Dyo, the place started to call Sungaa Tole. 
Shree 3 Vishnu Bir Mai temple
Whatever the reason might be behind this naming but one thing is clear that this temple has a lot of significance. This temple is also called the temple of Vaishnavi, the shakti of Lord Vishnu.
Deities of Vishnu Bir Mai temple
During the Biska Jatra, the palanquin of this temple (the khat of Vishnu Bir) leads to the other five Ganesha’s palanquins. With that, there held a solo jatra of its called Vishnu Vir Khat Jatra at the end of the Baishak where its palanquin is roamed around the entire thimi. (Here, thimi is referring as the main thimi area)
The legends say that this temple was faced west and had 12 corners in the past. Meanwhile, today it is faced towards the east and is made in Gumbaj style. The temple houses unshaped images of God and Goddesses. In front of which, one can encounter a statue of Garuda, doing Namaste (adjoining hands position) and a hanging Pataah.
Hanging pataah of Vishnu Bir mai temple
Likewise, in the courtyard of this temple, you can find fine patis (resthouses) to perform daily rituals and Bhajans. There is a replica of Shiddhi kali on the northwest corner of the courtyard and a small image of Saraswoti.
Taking a western alley from Balkumari Temple would take approximately a few minutes of walk to reach over there."
Thimi Layaku; the cultural center of Thimi,"Madhyapur thimi municipality, Bhaktapur District, Nepal.
27.677400, 85.386132","Lokeshwor Temple (Hiranyavarna Mahavihar)
142.17 m
Digu Bhairava Temple
198.86 m","Because of the location of Thimi Layaku, which is situated beside the main road, it became very easy for the wanderers to locate it out. Going straight ahead toward north from Balkumari temple (157m) would eventually lead you toward Thimi Layaku.
Today, the layaku (palace) of Thimi is functioning as the Aadarsha Secondary School. Although it is functioning as a school, some portion of this area is still used for cultural activities. The activities regarding Bhairava Dance, Taleju and many other culture-related activities are conducted from here. That’s why it is also called the cultural centre of Thimi.
Besides the cultural values, this place seems important for religious purposes. Each year during Biska jatra the statues of Balkumari are put over there, who is the main deity of Sindoor jatra. Also, the courtyard which has the Taleju temple is remarkably attractive although the section is still under construction.
Thimi layaku courtyard under construction
taleju at thimi layaku
toran of taleju temple
one unique window at Taleju courtyard-thimi layaku
newly placed windows-thimi layaku"
