,name,description,longitude,latitude,category,country
58,"Pearling, Testimony of an Island Economy","<p>The site consists of seventeen buildings in Muharraq City, three offshore oyster beds, part of the seashore and the Qal’at Bu Mahir fortress on the southern tip of Muharraq Island, from where boats used to set off for the oyster beds. The listed buildings include residences of wealthy merchants, shops, storehouses and a mosque. The site is the last remaining complete example of the cultural tradition of pearling and the wealth it generated at a time when the trade dominated the Gulf economy (2nd century to the 1930s, when Japan developed cultured pearls). It also constitutes an outstanding example of traditional utilization of the sea’s resources and human interaction with the environment, which shaped both the economy and the cultural identity of the island’s society.</p>",50.61351,26.24128,Cultural,Bahrain
59,Dilmun Burial Mounds,"The Dilmun Burial Mounds, built between 2200 and 1750 BCE, span over 21 archaeological sites in the western part of the island. Six of these sites are burial mound fields consisting of a few dozen to several thousand tumuli. In all there are about 11,774 burial mounds, originally in the form of cylindrical low towers. The other 15 sites include 17 royal mounds, constructed as two-storey sepulchral towers. The burial mounds are evidence of the Early Dilmun civilization, around the 2nd millennium BCE, during which Bahrain became a trade hub whose prosperity enabled the inhabitants to develop an elaborate burial tradition applicable to the entire population. These tombs illustrate globally unique characteristics, not only in terms of their number, density and scale, but also in terms of details such as burial chambers equipped with alcoves.",50.51277778,26.14972222,Cultural,Bahrain
60,Historic Mosque City of Bagerhat,"<p>Situated in the suburbs of Bagerhat, at the meeting-point of the Ganges and Brahmaputra rivers, this ancient city, formerly known as Khalifatabad, was founded by the Turkish general Ulugh Khan Jahan in the 15th century. The city’s infrastructure reveals considerable technical skill and an exceptional number of mosques and early Islamic monuments, many built of brick, can be seen there.</p>",89.8,22.66667,Cultural,Bangladesh
61,Ruins of the Buddhist Vihara at Paharpur,"<p>Evidence of the rise of Mahayana Buddhism in Bengal from the 7th century onwards, Somapura Mahavira, or the Great Monastery, was a renowned intellectual centre until the 12th century. Its layout perfectly adapted to its religious function, this monastery-city represents a unique artistic achievement. With its simple, harmonious lines and its profusion of carved decoration, it influenced Buddhist architecture as far away as Cambodia.</p>",88.98333333,25.03333333,Cultural,Bangladesh
62,The Sundarbans,"<p>The Sundarbans mangrove forest, one of the largest such forests in the world (140,000 ha), lies on the delta of the Ganges, Brahmaputra and Meghna rivers on the Bay of Bengal. It is adjacent to the border of India&rsquo;s Sundarbans World Heritage site inscribed in 1987. The site is intersected by a complex network of tidal waterways, mudflats and small islands of salt-tolerant mangrove forests, and presents an excellent example of ongoing ecological processes. The area is known for its wide range of fauna, including 260 bird species, the Bengal tiger and other threatened species such as the estuarine crocodile and the Indian python.</p>",89.18333,21.95,Natural,Bangladesh
122,Angkor,"<p>Angkor is one of the most important archaeological sites in South-East Asia. Stretching over some 400 km2, including forested area, Angkor Archaeological Park contains the magnificent remains of the different capitals of the Khmer Empire, from the 9th to the 15th century. They include the famous Temple of Angkor Wat and, at Angkor Thom, the Bayon Temple with its countless sculptural decorations. UNESCO has set up a wide-ranging programme to safeguard this symbolic site and its surroundings.</p>",103.8333333,13.43333333,Cultural,Cambodia
123,Temple of Preah Vihear,"<p>Situated on the edge of a plateau that dominates the plain of Cambodia, the Temple of Preah Vihear is dedicated to Shiva. The Temple is composed of a series of sanctuaries linked by a system of pavements and staircases over an 800 metre long axis and dates back to the first half of the 11th century AD. Nevertheless, its complex history can be traced to the 9th century, when the hermitage was founded. This site is particularly well preserved, mainly due to its remote location. The site is exceptional for the quality of its architecture, which is adapted to the natural environment and the religious function of the temple, as well as for the exceptional quality of its carved stone ornamentation.</p>",104.6838889,14.38833333,Cultural,Cambodia
124,"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura","<p>The archaeological site of Sambor Prei Kuk, “the temple in the richness of the forest” in the Khmer language, has been identified as Ishanapura, the capital of the Chenla Empire that flourished in the late 6th and early 7th centuries AD. The property comprises more than a hundred temples, ten of which are octagonal, unique specimens of their genre in South-East Asia. Decorated sandstone elements in the site are characteristic of the pre-Angkor decorative idiom, known as the Sambor Prei Kuk Style. Some of these elements, including lintels, pediments and colonnades, are true masterpieces. The art and architecture developed here became models for other parts of the region and lay the ground for the unique Khmer style of the Angkor period.</p>",105.0430556,12.8725,Cultural,Cambodia
125,Koh Ker: Archaeological Site of Ancient Lingapura or Chok Gargyar,"The archaeological site of Koh Ker is a sacred urban ensemble of numerous temples and sanctuaries including sculptures, inscriptions, wall paintings, and archaeological remains. Constructed over a twenty-three-year period, it was one of two rival Khmer Empire capitals – the other being Angkor – and was the sole capital from 928 to 944 CE. Established by King Jayavarman IV, his sacred city was believed to be laid out on the basis of ancient Indian religious concepts of the universe. The new city demonstrated unconventional city planning, artistic expression and construction technology, especially the use of very large monolithic stone blocks.",104.5372222,13.78305556,Cultural,Cambodia
156,Mount Taishan,"<p>The sacred Mount Tai ('shan' means 'mountain') was the object of an imperial cult for nearly 2,000 years, and the artistic masterpieces found there are in perfect harmony with the natural landscape. It has always been a source of inspiration for Chinese artists and scholars and symbolizes ancient Chinese civilizations and beliefs.</p>",117.1,36.26667,Mixed,China
157,The Great Wall,"<p>In c. 220 B.C., under Qin Shi Huang, sections of earlier fortifications were joined together to form a united defence system against invasions from the north. Construction continued up to the Ming dynasty (1368–1644), when the Great Wall became the world's largest military structure. Its historic and strategic importance is matched only by its architectural significance.</p>",116.08333,40.41667,Cultural,China
158,Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang,"<p>Seat of supreme power for over five centuries (1416-1911), the Forbidden City in Beijing, with its landscaped gardens and many buildings (whose nearly 10,000 rooms contain furniture and works of art), constitutes a priceless testimony to Chinese civilization during the Ming and Qing dynasties. The Imperial Palace of the Qing Dynasty in Shenyang consists of 114 buildings constructed between 1625–26 and 1783. It contains an important library and testifies to the foundation of the last dynasty that ruled China, before it expanded its power to the centre of the country and moved the capital to Beijing. This palace then became auxiliary to the Imperial Palace in Beijing. This remarkable architectural edifice offers important historical testimony to the history of the Qing Dynasty and to the cultural traditions of the Manchu and other tribes in the north of China.</p>",123.4469444,41.79416667,Cultural,China
159,Mogao Caves,"<p>Situated at a strategic point along the Silk Route, at the crossroads of trade as well as religious, cultural and intellectual influences, the 492 cells and cave sanctuaries in Mogao are famous for their statues and wall paintings, spanning 1,000 years of Buddhist art.</p>",94.81667,40.13333,Cultural,China
160,Mausoleum of the First Qin Emperor,"<p>No doubt thousands of statues still remain to be unearthed at this archaeological site, which was not discovered until 1974. Qin (d. 210 B.C.), the first unifier of China, is buried, surrounded by the famous terracotta warriors, at the centre of a complex designed to mirror the urban plan of the capital, Xianyan. The small figures are all different; with their horses, chariots and weapons, they are masterpieces of realism and also of great historical interest.</p>",109.259951,34.381311,Cultural,China
161,Peking Man Site at Zhoukoudian,"<p>Scientific work at the site, which lies 42 km south-west of Beijing, is still underway. So far, it has led to the discovery of the remains of <em>Sinanthropus pekinensis</em>, who lived in the Middle Pleistocene, along with various objects, and remains of <em>Homo sapiens sapiens</em> dating as far back as 18,000–11,000 B.C. The site is not only an exceptional reminder of the prehistorical human societies of the Asian continent, but also illustrates the process of evolution.</p>",115.922702,39.689449,Cultural,China
162,Mount Huangshan,"<p>Huangshan, known as 'the loveliest mountain of China', was acclaimed through art and literature during a good part of Chinese history (e.g. the Shanshui 'mountain and water' style of the mid-16th century). Today it holds the same fascination for visitors, poets, painters and photographers who come on pilgrimage to the site, which is renowned for its magnificent scenery made up of many granite peaks and rocks emerging out of a sea of clouds.</p>",118.155083,30.145333,Mixed,China
163,Jiuzhaigou Valley Scenic and Historic Interest Area,"<p>Stretching over 72,000 ha in the northern part of Sichuan Province, the jagged Jiuzhaigou valley reaches a height of more than 4,800 m, thus comprising a series of diverse forest ecosystems. Its superb landscapes are particularly interesting for their series of narrow conic karst land forms and spectacular waterfalls. Some 140 bird species also inhabit the valley, as well as a number of endangered plant and animal species, including the giant panda and the Sichuan takin.</p>",103.91667,33.08333,Natural,China
164,Huanglong Scenic and Historic Interest Area,"<p>Situated in the north-west of Sichaun Province, the Huanglong valley is made up of snow-capped peaks and the easternmost of all the Chinese glaciers. In addition to its mountain landscape, diverse forest ecosystems can be found, as well as spectacular limestone formations, waterfalls and hot springs. The area also has a population of endangered animals, including the giant panda and the Sichuan golden snub-nosed monkey.</p>",103.82222,32.75417,Natural,China
165,Wulingyuan Scenic and Historic Interest Area,"<p>A spectacular area stretching over more than 26,000 ha in China's Hunan Province, the site is dominated by more than 3,000 narrow sandstone pillars and peaks, many over 200 m high. Between the peaks lie ravines and gorges with streams, pools and waterfalls, some 40 caves, and two large natural bridges. In addition to the striking beauty of the landscape, the region is also noted for the fact that it is home to a number of endangered plant and animal species.</p>",110.5,29.33333,Natural,China
166,"Mountain Resort and its Outlying Temples, Chengde","<p>The Mountain Resort (the Qing dynasty's summer palace), in Hebei Province, was built between 1703 and 1792. It is a vast complex of palaces and administrative and ceremonial buildings. Temples of various architectural styles and imperial gardens blend harmoniously into a landscape of lakes, pastureland and forests. In addition to its aesthetic interest, the Mountain Resort is a rare historic vestige of the final development of feudal society in China.</p>",117.93833,40.98694,Cultural,China
167,Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu,"<p>The temple, cemetery and family mansion of Confucius, the great philosopher, politician and educator of the 6th–5th centuries B.C., are located at Qufu, in Shandong Province. Built to commemorate him in 478 B.C., the temple has been destroyed and reconstructed over the centuries; today it comprises more than 100 buildings. The cemetery contains Confucius' tomb and the remains of more than 100,000 of his descendants. The small house of the Kong family developed into a gigantic aristocratic residence, of which 152 buildings remain. The Qufu complex of monuments has retained its outstanding artistic and historic character due to the devotion of successive Chinese emperors over more than 2,000 years.</p>",116.994561,35.613215,Cultural,China
168,Ancient Building Complex in the Wudang Mountains,"<p>The palaces and temples which form the nucleus of this group of secular and religious buildings exemplify the architectural and artistic achievements of China's Yuan, Ming and Qing dynasties. Situated in the scenic valleys and on the slopes of the Wudang mountains in Hubei Province, the site, which was built as an organized complex during the Ming dynasty (14th&ndash;17th centuries), contains Taoist buildings from as early as the 7th century. It represents the highest standards of Chinese art and architecture over a period of nearly 1,000 years.</p>",111.0,32.46667,Cultural,China
169,"Historic Ensemble of the Potala Palace, Lhasa","<p>The Potala Palace, winter palace of the Dalai Lama since the 7th century, symbolizes Tibetan Buddhism and its central role in the traditional administration of Tibet. The complex, comprising the White and Red Palaces with their ancillary buildings, is built on Red Mountain in the centre of Lhasa Valley, at an altitude of 3,700m. Also founded in the 7th century, the Jokhang Temple Monastery is an exceptional Buddhist religious complex. Norbulingka, the Dalai Lama's former summer palace, constructed in the 18th century, is a masterpiece of Tibetan art. The beauty and originality of the architecture of these three sites, their rich ornamentation and harmonious integration in a striking landscape, add to their historic and religious interest.</p>",91.11717,29.65792,Cultural,China
170,Lushan National Park,"<p>Mount Lushan, in Jiangxi, is one of the spiritual centres of Chinese civilization. Buddhist and Taoist temples, along with landmarks of Confucianism, where the most eminent masters taught, blend effortlessly into a strikingly beautiful landscape which has inspired countless artists who developed the aesthetic approach to nature found in Chinese culture.</p>",115.8666667,29.43333333,Cultural,China
171,"Mount Emei Scenic Area, including Leshan Giant Buddha Scenic Area","<p>The first Buddhist temple in China was built here in Sichuan Province in the 1st century A.D. in the beautiful surroundings of the summit Mount Emei. The addition of other temples turned the site into one of Buddhism's holiest sites. Over the centuries, the cultural treasures grew in number. The most remarkable is the Giant Buddha of Leshan, carved out of a hillside in the 8th century and looking down on the confluence of three rivers. At 71 m high, it is the largest Buddha in the world. Mount Emei is also notable for its exceptionally diverse vegetation, ranging from subtropical to subalpine pine forests. Some of the trees there are more than 1,000 years old.</p>",103.76925,29.5449,Mixed,China
172,Old Town of Lijiang,"<p>The Old Town of Lijiang, which is perfectly adapted to the uneven topography of this key commercial and strategic site, has retained a historic townscape of high quality and authenticity. Its architecture is noteworthy for the blending of elements from several cultures that have come together over many centuries. Lijiang also possesses an ancient water-supply system of great complexity and ingenuity that still functions effectively today.</p>",100.23333,26.86667,Cultural,China
173,Ancient City of Ping Yao,"<p>Ping Yao is an exceptionally well-preserved example of a traditional Han Chinese city, founded in the 14th century. Its urban fabric shows the evolution of architectural styles and town planning in Imperial China over five centuries. Of special interest are the imposing buildings associated with banking, for which Ping Yao was the major centre for the whole of China in the 19th and early 20th centuries.</p>",112.15444,37.20139,Cultural,China
174,Classical Gardens of Suzhou,"<p>Classical Chinese garden design, which seeks to recreate natural landscapes in miniature, is nowhere better illustrated than in the nine gardens in the historic city of Suzhou. They are generally acknowledged to be masterpieces of the genre. Dating from the 11th-19th century, the gardens reflect the profound metaphysical importance of natural beauty in Chinese culture in their meticulous design.</p>",120.45,31.31666667,Cultural,China
175,"Summer Palace, an Imperial Garden in Beijing","<p>The Summer Palace in Beijing &ndash; first built in 1750, largely destroyed in the war of 1860 and restored on its original foundations in 1886 &ndash; is a masterpiece of Chinese landscape garden design. The natural landscape of hills and open water is combined with artificial features such as pavilions, halls, palaces, temples and bridges to form a harmonious ensemble of outstanding aesthetic value.</p>",116.1411111,39.91055556,Cultural,China
176,Temple of Heaven: an Imperial Sacrificial Altar in Beijing,"<p>The Temple of Heaven, founded in the first half of the 15th century, is a dignified complex of fine cult buildings set in gardens and surrounded by historic pine woods. In its overall layout and that of its individual buildings, it symbolizes the relationship between earth and heaven &ndash; the human world and God's world &ndash; which stands at the heart of Chinese cosmogony, and also the special role played by the emperors within that relationship.</p>",116.4447222,39.84555556,Cultural,China
177,Mount Wuyi,"<p>Mount Wuyi is the most outstanding area for biodiversity conservation in south-east China and a refuge for a large number of ancient, relict species, many of them endemic to China. The serene beauty of the dramatic gorges of the Nine Bend River, with its numerous temples and monasteries, many now in ruins, provided the setting for the development and spread of neo-Confucianism, which has been influential in the cultures of East Asia since the 11th century. In the 1st century B.C. a large administrative capital was built at nearby Chengcun by the Han dynasty rulers. Its massive walls enclose an archaeological site of great significance.</p>",117.7252778,27.72638889,Mixed,China
178,Dazu Rock Carvings,"<p>The steep hillsides of the Dazu area contain an exceptional series of rock carvings dating from the 9th to the 13th century. They are remarkable for their aesthetic quality, their rich diversity of subject matter, both secular and religious, and the light that they shed on everyday life in China during this period. They provide outstanding evidence of the harmonious synthesis of Buddhism, Taoism and Confucianism.</p>",105.705,29.70111,Cultural,China
179,Mount Qingcheng and the Dujiangyan Irrigation System,"<p>Construction of the Dujiangyan irrigation system began in the 3rd century B.C. This system still controls the waters of the Minjiang River and distributes it to the fertile farmland of the Chengdu plains. Mount Qingcheng was the birthplace of Taoism, which is celebrated in a series of ancient temples.</p>",103.60528,31.00167,Cultural,China
180,Ancient Villages in Southern Anhui – Xidi and Hongcun,"<p>The two traditional villages of Xidi and Hongcun preserve to a remarkable extent the appearance of non-urban settlements of a type that largely disappeared or was transformed during the last century. Their street plan, their architecture and decoration, and the integration of houses with comprehensive water systems are unique surviving examples.</p>",117.9875,29.90444444,Cultural,China
181,Longmen Grottoes,"<p>The grottoes and niches of Longmen contain the largest and most impressive collection of Chinese art of the late Northern Wei and Tang Dynasties (316-907). These works, entirely devoted to the Buddhist religion, represent the high point of Chinese stone carving.</p>",112.4666667,34.46666667,Cultural,China
182,Imperial Tombs of the Ming and Qing Dynasties,"<p>It represents the addition of three Imperial Tombs of the Qing Dynasty in Liaoning to the Ming tombs inscribed in 2000 and 2003. The Three Imperial Tombs of the Qing Dynasty in Liaoning Province include the Yongling Tomb, the Fuling Tomb, and the Zhaoling Tomb, all built in the 17th century. Constructed for the founding emperors of the Qing Dynasty and their ancestors, the tombs follow the precepts of traditional Chinese geomancy and fengshui theory. They feature rich decoration of stone statues and carvings and tiles with dragon motifs, illustrating the development of the funerary architecture of the Qing Dynasty. The three tomb complexes, and their numerous edifices, combine traditions inherited from previous dynasties and new features of Manchu civilization.</p>",124.7938889,41.70722222,Cultural,China
183,Yungang Grottoes,"<p>The Yungang Grottoes, in Datong city, Shanxi Province, with their 252 caves and 51,000 statues, represent the outstanding achievement of Buddhist cave art in China in the 5th and 6th centuries. The Five Caves created by Tan Yao, with their strict unity of layout and design, constitute a classical masterpiece of the first peak of Chinese Buddhist art.</p>",113.12222,40.10972,Cultural,China
184,Three Parallel Rivers of Yunnan Protected Areas,"<p>Consisting of eight geographical clusters of protected areas within the boundaries of the Three Parallel Rivers National Park, in the mountainous north-west of Yunnan Province, the 1.7 million hectare site features sections of the upper reaches of three of the great rivers of Asia: the Yangtze (Jinsha), Mekong and Salween run roughly parallel, north to south, through steep gorges which, in places, are 3,000 m deep and are bordered by glaciated peaks more than 6,000 m high. The site is an epicentre of Chinese biodiversity. It is also one of the richest temperate regions of the world in terms of biodiversity.</p>",98.40638889,27.895,Natural,China
185,Historic Centre of Macao,"<p>Macao, a lucrative port of strategic importance in the development of international trade, was under Portuguese administration from the mid-16th century until 1999, when it came under Chinese sovereignty. With its historic street, residential, religious and public Portuguese and Chinese buildings, the historic centre of Macao provides a unique testimony to the meeting of aesthetic, cultural, architectural and technological influences from East and West. The site also contains a fortress and a lighthouse, the oldest in China. It bears witness to one of the earliest and longest-lasting encounters between China and the West, based on the vibrancy of international trade.</p>",113.5364611,22.19129194,Cultural,China
186,Cultural Landscape of Honghe Hani Rice Terraces ,"<p>The Cultural Landscape of Honghe Hani Rice Terraces, China covers 16,603-hectares in Southern Yunnan. It is marked by spectacular terraces that cascade down the slopes of the towering Ailao Mountains to the banks of the Hong River. Over the past 1,300 years, the Hani people have developed a complex system of channels to bring water from the forested mountaintops to the terraces. They have also created an integrated farming system that involves buffalos, cattle, ducks, fish and eel and supports the production of red rice, the area&rsquo;s primary crop. The inhabitants worship the sun, moon, mountains, rivers, forests and other natural phenomena including fire. They live in 82 villages situated between the mountaintop forests and the terraces. The villages feature traditional thatched &ldquo;mushroom&rdquo; houses. The resilient land management system of the rice terraces demonstrates extraordinary harmony between people and their environment, both visually and ecologically, based on exceptional and long-standing social and religious structures.</p>",102.7799806,23.09327778,Cultural,China
187,Kaiping Diaolou and Villages,"<p>Kaiping Diaolou and Villages feature the Diaolou, multi-storeyed defensive village houses in Kaiping, which display a complex and flamboyant fusion of Chinese and Western structural and decorative forms. They reflect the significant role of émigré Kaiping people in the development of several countries in South Asia, Australasia and North America, during the late 19th and early 20th centuries. There are four groups of Diaolou and twenty of the most symbolic ones are inscribed on the List. These buildings take three forms: communal towers built by several families and used as temporary refuge, residential towers built by individual rich families and used as fortified residences, and watch towers. Built of stone, <em>pise</em> , brick or concrete, these buildings represent a complex and confident fusion between Chinese and Western architectural styles. Retaining a harmonious relationship with the surrounding landscape, the Diaolou testify to the final flowering of local building traditions that started in the Ming period in response to local banditry.</p>",112.5658611,22.28551944,Cultural,China
188,Fujian <em>Tulou</em>,"<p>Fujian <em>Tulou</em> is a property of 46 buildings constructed between the 15th and 20th centuries over 120 km in south-west of Fujian province, inland from the Taiwan Strait. Set amongst rice, tea and tobacco fields the Tulou are earthen houses. Several storeys high, they are built along an inward-looking, circular or square floor plan as housing for up to 800 people each. They were built for defence purposes around a central open courtyard with only one entrance and windows to the outside only above the first floor. Housing a whole clan, the houses functioned as village units and were known as “a little kingdom for the family” or “bustling small city.” They feature tall fortified mud walls capped by tiled roofs with wide over-hanging eaves. The most elaborate structures date back to the 17th and 18th centuries. The buildings were divided vertically between families with each disposing of two or three rooms on each floor. In contrast with their plain exterior, the inside of the tulou were built for comfort and were often highly decorated. They are inscribed as exceptional examples of a building tradition and function exemplifying a particular type of communal living and defensive organization, and, in terms of their harmonious relationship with their environment, an outstanding example of human settlement.</p>",117.6858333,25.02305556,Cultural,China
189,Yin Xu,"<p>The archaeological site of Yin Xu, close to Anyang City, some 500 km south of Beijing, is an ancient capital city of the late Shang Dynasty (1300 - 1046 BC). It testifies to the golden age of early Chinese culture, crafts and sciences, a time of great prosperity of the Chinese Bronze Age. A number of royal tombs and palaces, prototypes of later Chinese architecture, have been unearthed on the site, including the Palace and Royal Ancestral Shrines Area, with more than 80 house foundations, and the only tomb of a member of the royal family of the Shang Dynasty to have remained intact, the Tomb of Fu Hao. The large number and superb craftsmanship of the burial accessories found there bear testimony to the advanced level of Shang crafts industry. Inscriptions on oracle bones found in Yin Xu bear invaluable testimony to the development of one of the world’s oldest writing systems, ancient beliefs and social systems.</p>",114.3138889,36.12666667,Cultural,China
190,Capital Cities and Tombs of the Ancient Koguryo Kingdom,"<p>The site includes archaeological remains of three cities and 40 tombs: Wunu Mountain City, Guonei City and Wandu Mountain City, 14 tombs are imperial, 26 of nobles. All belong to the Koguryo culture, named after the dynasty that ruled over parts of northern China and the northern half of the Korean Peninsula from 277 BC to AD 668. Wunu Mountain City is only partly excavated. Guonei City, within the modern city of Ji’an, played the role of a ‘supporting capital’ after the main Koguryo capital moved to Pyongyang. Wandu Mountain City, one of the capitals of the Koguryo Kingdom, contains many vestiges including a large palace and 37 tombs. Some of the tombs show great ingenuity in their elaborate ceilings, designed to roof wide spaces without columns and carry the heavy load of a stone or earth tumulus (mound), which was placed above them.</p>",126.1872222,41.15694444,Cultural,China
191,"Sichuan Giant Panda Sanctuaries - Wolong, Mt Siguniang and Jiajin Mountains ","<p>Sichuan Giant Panda Sanctuaries, home to more than 30% of the world's pandas which are classed as highly endangered, covers 924,500 ha with seven nature reserves and nine scenic parks in the Qionglai and Jiajin Mountains. The sanctuaries constitute the largest remaining contiguous habitat of the giant panda, a relict from the paleo-tropic forests of the Tertiary Era. It is also the species' most important site for captive breeding. The sanctuaries are home to other globally endangered animals such as the red panda, the snow leopard and clouded leopard. They are among the botanically richest sites of any region in the world outside the tropical rainforests, with between 5,000 and 6,000 species of flora in over 1,000 genera.</p>",103.0,30.83333333,Natural,China
192,South China Karst,"<p>South China Karst is one of the world’s most spectacular examples of humid tropical to subtropical karst landscapes. It is a serial site spread over the provinces of Guizhou, Guangxi, Yunnan and Chongqing and covers 97,125 hectares. It contains the most significant types of karst landforms, including tower karst, pinnacle karst and cone karst formations, along with other spectacular characteristics such as natural bridges, gorges and large cave systems. The stone forests of Shilin are considered superlative natural phenomena and a world reference. The cone and tower karsts of Libo, also considered the world reference site for these types of karst, form a distinctive and beautiful landscape. Wulong Karst has been inscribed for its giant dolines (sinkholes), natural bridges and caves.</p>",110.3544444,24.92333333,Natural,China
193,Mount Wutai,"<p>With its five flat peaks, Mount Wutai is a sacred Buddhist mountain. The cultural landscape is home to forty-one monasteries and includes the East Main Hall of Foguang Temple, the highest surviving timber building of the Tang dynasty, with life-size clay sculptures. It also features the Ming dynasty Shuxiang Temple with a huge complex of 500 statues representing Buddhist stories woven into three-dimensional pictures of mountains and water. Overall, the buildings on the site catalogue the way in which Buddhist architecture developed and influenced palace building in China for over a millennium. Mount Wutai, literally, 'the five terrace mountain', is the highest in Northern China and is remarkable for its morphology of precipitous slopes with five open treeless peaks. Temples have been built on this site from the 1st century AD to the early 20th century.</p>",113.5633333,39.03055556,Cultural,China
