ID,Name,Latitude,Longitude,Country,City,Category,Description
11,Shree Vishwokarma Agam Chhen,27.6738883,85.4306298,Nepal,Bhaktapur,Heritage Site,"Shree Vishwakarma Agam Chhen, located at Tuchimala tole of Bhaktapur is one of Bhaktapur’s most distinctive architectural structures. After building the Nyatapola temple, the Awal people are reported to have built the Agam Chhen.
The most unusual aspect of its building is that, unlike any other wooden window, it has a window constructed of clay. That window is also known as Tellikata jhyal, which translates to “clay window.”
The architecture is said to be 318 years old, which corresponds to the age of the Nyatapola temple.
Furthermore, the architecture was recently rebuilt and launched. This is the second time it has been renovated. It is reported that it was initially renovated after the 1990 earthquake.
However, there appear to be planning to showcase it as one of Bhaktapur’s museums."
12,Aadipadma Mahavihar,27.6733111,85.4352705,Nepal,Bhaktapur,Heritage Site,"Aadipadma Mahavihar is one of Bhaktapur’s oldest Vihars. Despite the lack of documentation detailing its origins, it is commonly referred to as Bhaktapur’s Jetho Vihar, which means “older one.” The vihar was referred to as Tombaha or Tungbaha in Rajbamsawali.
This Mahavihar is the place where both the Panchara (Pancha dan) and Samyak Mahadan begin. During Mohani, a kumari is also set up in front of this Vihar. All of this just demonstrates the location’s antiquity and historical significance.
Moreover, during Panchadan, all five Dipankar buddhas are welcomed at Aadipadma Mahaihar after gathering at Suryamandhi’s dabali (platform). Only after which, does the panchadan procedure begin.
The Vihar is located in Suryamadhi’s Taulachhen tole. Suryamadhi’s south-western corner has a short alley that leads directly to the vihar."
13,Lokeshwor temple of Bhaktapur,27.6720761,85.4253176,Nepal,Bhaktapur,Heritage Site,"Bhaktapur’s Lokeshwor temple, also known as Karunamaya, is a gorgeous temple located within the municipal limits of Bhaktapur. The temple is surrounded by local homes, moreover, the temple’s backside is rather attached to a house too.
Legend has it that when Lichhavi King Narendra Deva was ready to introduce Rato Machhindranatha (Lord Karunamaya) to Nepal, it was determined to establish one of the three designated locations. The contemporary Lokeshwor temple, Silu Mahadeva (Phasidegal), and Aankha Bahal were those three locations.
These locations are claimed to have been picked by a bird who was thought to be Lord Karunamaya’s emissary. The entire procedure was carried out under the auspices of tantrism.
As a result, these sites were regarded as the holiest. When the task of establishing Karunamaya was not completed, Baladeva, King Narendra Deva’s son, established a Padmapani Lokeshwor there.
Padmapani Lokeshwor is a Hindu god who appears to always be holding a lotus in his palm. He is also known as the Lashkar dyo (Laska dyo) and Bhaktapur’s Karunamaya.
The Jet Varna vihar is another name for it. It has Gaju Chaityas, Khamba Chaityas, Bajra Khatu Chaityas, Dharma Khatu, Vimba, Lokeshwor, and Dharma Dhatu Mandir on its premises.
Reference legend: Ganesh Ranjeet"
14,Indra Varna Mahavihar (Inabaha),27.6723734,85.4341177,Nepal,Bhaktapur,Heritage Site,"Indra Varna Mahavihar locally called Inabaha and Indra Varta Mahavihar is one of the important Mahavihar of Bhaktapur. It is assumed that in N.S.741 when King Jagarjyoti Malla was ruling over Nepalmandal, Devsingha Buddhacharya bought land from Hari in Badimangal Yugtole and made the Vihar.
In the names of the erectors, Dev Singh, Jaya Singha and Melu Singha’s names come first. And the very same Devsingha also established a statue of Dipankar Buddha in N.S.749 in the name of his son Devadas.
There is also the image of Pragyaparamita and Avalokiteshwora on the right and the left side of the main deity, Achhobhya Buddha.
The vihar is also famous for a certain event named Barhe Chukegu. It is a part of the traditional Buddhist Chudakarma ritual where the boys of Bajracharyas and Shakyas go through Acharya Abhisheka. The event is more likely considered as a Tantric in grace rite that qualifies any Bajarcharya to become a priest.
During Gunla, daily bhajans (singing hymns ) are regulated there.
However, the torans of the vihar is in bizarre conditions. There are no images of the replicated deity in it. Besides, the architecture of the vihar also seems devastated by the 2015 earthquake. Even though there are people living there.
Indra Varna Mahavihar (Inabaha)
Nevertheless, the temple-like architecture at the top of the building with two Pattas (Patah) hanging around it gives quite a traditional taste. Also, the wall paintings are abnormally beautiful."
15,Mangal Dharmadweep Mahavihar (Jhaur Bahi),27.6723637,85.4330929,Nepal,Bhaktapur,Heritage Site,"Mangal Dharmadweep Mahavihar, which is located in Bhaktapur’s Golmadhi tole, is also known as Jhaur Bahi. In this Vihar, one of the five Dipankar Buddhas can be found.
Mangal Dharmadweep Mahavihar (Jhaur Bahi)
The Pauva arts are displayed here at Gunhi Punhi. This Vihar was constructed in the 13th century. Later, Jibtaj Bajraacharya’s descendants from Tadhichhen Baha renovated it (Tadhuchhen Bahal).
This Bahi, like the others, has a rectangular courtyard with modest chaityas. It also features the artwork of many Buddhas on its walls. Normally, the passage is less congested. During Samyak Mahadan, Pnchadan, and Gunla Parva, however, the site is packed with worshipers."
16,Dipankar Mahavihar,27.6748852,85.4337626,Nepal,Bhaktapur,Heritage Site,"Located inside a barely walked alley between Kwathandou and Bekhal, Dipankar Mahavihar is the home of one of the Dipankar Buddhas of Bhaktapur. He is supposed as the main Dipankar Buddha, thus after him, the vihar is named.
The statue of Dipakhar Buddha at Dipankar Mahavihar
As per the available scriptures, it was built in N.S. 750. And, fortunately, it is still in good condition, able to perform daily worshipping rituals and participate in Panchadan and Samyak Dan like holy events.
Beside Dipankar Buddha, there stands a statue of Mahankal, Manjushree, Ganesh and Shiva-Parvati, in this Mahavihar tagging the Red Tara. Some folk legends mention that Tara used to speak and was kept inside the bar while she was trying to leave the place.
That is why many Tibetans and people from the Himalayan regions often pay a visit to this place.
The temple of Red Tara at the premises of Dipankar Mahavihar
The Mahavihar, however, is also come to know as the home of Kumari of Bhaktapur. Each year, during Dashain, the living goddess Kumari resides here for 15 days.
Although, there is not much movement in the area, when you cross upon that road, a fragrance of incense steal away your attention. There is peace in the air.
While analyzing the spiritual values of that Mahavihar, one cannot just ignore the architectural form. The combination of the temple and local residents seems quite distinct yet attractive. The struts are as beautiful as the other wooden pieces of Bhaktapur. They are well carved and presented.
Dipankar Mahavihar
Likewise, there are Dharmadhatu Chaitya, Bajradhatu Chaitya, Khamba Chaitya, Gaju Chaitya, a hymning place (Sattal) with some fascinating paintings and a stone conduit on its premises. It’s a place worth visiting although the presence of local residents make you feel quite awkward, at first.
Chaityas and Sattal at Dipankar Mahavihar"
17,Jayakriti Mahavihar (Thathu Bahi),27.6728031,85.4218875,Nepal,Bhaktapur,Heritage Site,"Jayakriti Mahavihar, also known as Thatu Bahi is one of the most prominent vihars of Bhaktapur. Each year, Samyak Panchadan like-substantial event takes place over there.
It is located at Itachhen, on the western arena of the Na: Pukhu (Guhyepokhari of Bhaktapur). A two-storeyed building made out of a traditional Nepalese style (currently functioning as a Shree Gyan Bijaya Primary School) is also the house of one of the Dipankar Buddhas of Bhaktapur.
There is a beautiful courtyard inside the building where one can find small chaityas and stupa along with exquisite wood’s working and the image of Padmapani Lokeshwora, the central deity of the Bahi.
The vihar is placed in the highland, that’s why it is called thatu Bahi.
The vihar, as mentioned in the inscriptions and scriptures ascertains that it is way older than other vihars. The presence of two Chaityas and a gate with Panchabuddha summarises that it was made in the Lichhavi era.
There is even some chatter saying Na: Pukhu was later made on the land of Thathu Bahi.
It is said that the vihar was also renovated by King Jitamitra Malla and Ugra Malla after Jaya Ratna Bajracharya, who was a member of Chatur Varna Mahavihar.
The mentioned date when Jaya Ratna Bajracharya renovated it was N.S.794 and only after that, the Thatu Bahi was started to call Jayakriti Mahavihar. Moreover, it still seems to be in a good condition."
18,Chuma Ganesha Temple,27.674545,85.430603,Nepal,Bhaktapur,Heritage Site,"The uniqueness of this city never disappoints you especially when it comes to the name of places and temples. The Chuma Ganesha temple, designated as the very first Ganesh temple of Bhaktapur somehow, too falls in such fanciful legends and in weird naming.
Being located in Chochhen tole of Bhaktapur made it geographically the temple situated in the upper part of the Bhaktapur Nagara. It is said that Chochhen originally came up after the term Choye Chongu Chhen which means the house of the upper part.
Chuma Ganesh temple, on the other hand also has its own legendary story. Even the origin of its name has a story. It is said that the rats of that area beyond their nature scared the cats. And when someone tries to investigate the matter, they found out the image of Lord Ganesh.
Chuma Ganesha
Legends say that the name Chuma is derived from the term Chu and Ma which respectively means the rat and line. Thus, assuming Lord Ganesha worshipped by the large line of mice, the name of the temple began to be called Chuma Ganesha.
However, there is one more story that is slightly different from the aforementioned yet the core story of being rats powerful is the same. As per the story, when the king saw a fight between cat and rat and saw cat losing into the rat. He got amazed and follow the rat. There he found the Chuma Ganesh.
After being blessed by him, he was also told that there is Bhadrakali in the south of the area. And he should go there and worship her. The king as ordered went there and worship her. Being pleased by the king, she then gave him instruction to build a nagara in between these two areas; Chuma Ganesha and Bhadrakali temple.
Next, the king establishes the Bhaktapur Nagar along with the first Ganesh temple, Astamatrikas and Astabhairavas.
Besides, the architecture of the temple is likewise quite unique. Although it is a pagoda-style temple, its false tire has multiple layers like design which indeed is unique and satisfactory for the eyes.
Chuma Ganesha Temple"
19,Salan Ganesh Dyo Chhen,27.673937,85.434589,Nepal,Bhaktapur,Heritage Site,"Salan Ganesh Dyo Chhen is the god house of Salan Ganesh Temple. However, it is more famous as Agam dyo chhen than the dyo chhen.
The dyo chhen of Salan Ganesh is an exceptional architectural illustration. Unlike other dyo chhen (god’s house), which looks more like a residence but this dyo chhen owns some features matching the temple. Equivalently, it’s rare to find double torans even in temples too. Besides a pinnacle (Gajur) and beautiful carvings over struts, windows and doors made it more of a diversion to the orbs.
Agam dyo chhen
PC: Praz Santt/bhaktapur.com
The flanking stone lions’ home although is declared a world heritage site, yet we are not allowed to observe the interior. Because it still remains occupied by the local resident thus it’s not open to the public.
About the age of the dyo chhen, there is no exact record regarding its erection yet there are some guesses which tells us that it might have been built when the Salan Ganesh temple was built. It somehow makes sense too. Considering, the dyo chhen is of Salan Ganesh temple, it could have been built during the same time period.
The struts and the carvings
PC: Praz Santt/bhaktapur.com
Moreover, the famous architect Mr Wolfgang Korn also remarks that it may be incorrect to describe buildings of this type as temples because they are called even on Newari Dyochhens, which means god’s house. However, only the replica of god is quartered over there.
Well, it’s quite easy to find this architecture foregoing the parade of local residences. On the northern alley of Salan Ganesh puku, the last building to the very west is the dyo chhen of Salan Ganesh Temple.
References-
orientalarchitecture.com"
20,Aesamari Sattal of Taumadhi Square,27.671034,85.429155,Nepal,Bhaktapur,Heritage Site,"Many of you might have heard about the word Aesamari Sattal and some might know which exactly the architecture is. Aesamari Sattal is non-other than that building, which resides right in front of the Nyatapola temple where “New Cafe Nyatapola” exists.
That building was said to be used by the priest who came to Bhaktapur, especially for the Biska Jatra. Also, the building was said to be the house of the essential elements of the biska jatra festival. 
There are numerous stories related to this particular building. It is said that there used to be a puja each year during Biska jatra in the Taumadhi square. That puja was specially held for the salvation of those spirits who had an unfortunate death. And the sages were said to make the big bread (roti or mari) in this particular place, thus it started to be called Aesamari Sattal.
Moreover, Aesamari Sattal is also unique in the aspect of depicting exceptional woodcarvings. Especially the erotic carvings. In the struts of this building, we can see numerous characters and their actions, beautifully depicting the then lifestyle.
Erotic carving at Nyatapola cafe PC: Praz Santt/Bhaktapur.com
You can check out more carvings like this on the Erotic carvings on the architecture of Bhaktapur."
21,Jetha Ganesh Temple,27.670098,85.427818,Nepal,Bhaktapur,Heritage Site,"The Jestha/Jetha Ganesh temple of pottery square dates back to the year 1646. Unlike other temples around, the Jetha Ganesh temple was not built by any king or the prince. Instead, it is said that it was donated by a wealthy person.
The architecture of the temple seems normal to us cause it’s a two-storeyed pagoda styled temple. But the importance of it does not rely on its normal architectural design. This temple is extraordinary because of the images of Astamatrika and Astabhairava. They are beautifully carved on the temple’s struts, which is very rare to find in any temple, even in the entire Kathmandu Valley.
Astamatrika at Jetha Ganesh temple
Moreover, each year during the Biska Jatra,  a Lyo Sin Dyo without arms (Lha maru Lyo Sin Dyo) is raised on the premises of this temple."
22,Uma Maheshwor temple,27.672393,85.430169,Nepal,Bhaktapur,Heritage Site,"There are two temples of Uma Maheshwor in Bhaktapur. One among them is located on the way to the Sukuldhokha from Balakhu Ganesh temple. To be more precise, it is exactly located behind the Araniko Assembly Hall.
Uma maheshwor temple before the restoration  PC: Sunil Rajbhandari
This Uma Maheshwor temple is made off of stones and it was once somehow impacted by the plants of the pipal. Until the renovation, the temple was half overlaid by the trees. It almost looked like the trees were the roof of this temple. But today, we can clearly see the pinnacle of this temple.
The temple is one of the most artistic temples of Bhaktapur that were made in a Shikhara Style. Cause, unlike other temples, it is full of pristine carvings, especially on the pillars.
There is an image of Uma Maheshwor in the sanctum of the temple. The image of this temple was once stolen after the worshipping was totally stopped there.
It is said that the temple was first made during the reign of Prana Malla."
23,Bhajyapukhu of Bhaktapur,27.670663,85.421144,Nepal,Bhaktapur,Heritage Site,"Bhajyapukhu or Bhajupokhari of Bhaktapur is recently renovating under the act of Bhaktapur Municipality. This pond seems like a hidden pond of Bhaktapur cause it is labelled beside the line of various restaurants and local residences. But it is very easy to locate this pond. 
It lies right behind the Shiddhapokhari of Bhaktapur, on the southern arena. All you need to do is cross the road toward the south of Shiddhapokhari. Make the traditional pati to your right( which has a small outdoor shop) and keep going. Within a few steps, you would be standing on the northeast corner of the Bhajupokhari.
People used to play football in the pond, lightly a few years back because there was no water in this pond. It was totally dried up and was only limited in the name of the history of Bhaktapur. Even, in the history of Bhaktapur, there is no accurate information about this pond.
Regarding Culture Activist, Om Dhaubhadel, Bhajupokhari was built by a general commander of King Jitamitra Malla, Bhagiram Pradhananga (Bhaju Kasaju/ Bhaju Kasa). By whom’s name, the pond is named Bhajuya Pukhu which means the pond of Bhaju. Later, it started to be called Bhajupukhu and then Bhajyapukhu. However, people also prefer to call it Bhajupokhari which all means the pond named by Bhaju.
Since there is no exact information regarding the erection period of the pond, considering the life ventures of Bhaju Kasa, it is guessed that it probably was built during N.S. 811/812. However, it is no sure date of its erection.
For the reconstruction of the pond, some pre-research and excavation work was also held in that area by the team of Historian and Culture Activist Dr Purushottam Lochan Shrestha. Surprisingly, some facts regarding the preceding temple and its antiquity have been unveiled. 
As per the study, there used to be a shikhara styled temple with an image of Jaleshwor. The temple is said to be built in the middle of the pond just like in the Ranipokhari of Kathmandu.
Likewise, it is assumed that the Bhajupokhari of Bhaktapur was made to replicate the Ranipokhari of Kathmandu. More or less, it is also believed that an earthquake ruined the pond along with its history, making it still a mystery."
24,Tripurasundari Dhungedhara (the stone conduit of Tripurasundari),27.672749,85.430244,Nepal,Bhaktapur,Heritage Site,"The rectangular water conduit near Tripurasundari Temple is well known as the Dhungedhara (Lohahiti) of Tripurasundari. It is located at Tulachhen (north of the Jagannath temple of Tulachhen). Though the conduit is not functioning nowadays, it must have had great significance in past. Near the conduit, there is a pati (north side) which states that the conduit was built in N.S. 589 (1468 A.D.) by King Yakshya Malla.
Besides the extremely beautiful water conduit, there is a statue of Goddess Gajalaxmi, Vaikuntha Narayan Vishnu and a Shivalinga. This particular dhungedhara is also best known for one of the best images of Bhagirath."
25,Jagannath temple of Tulachhen,27.672578,85.430088,Nepal,Bhaktapur,Heritage Site,"Bhaktapur, without an unspecified reason, is not designated as the city of temples. You see, each corner of the path and chowks of Bhaktapur contains some kind of shrine. Somewhence, you would also find temples with different architecture but of the same names. Referring to this case, you can find one Jagannath temple in Durbar Square and another one at Tulachhen.
The temple of Jagannath which lies at Tulachhen is also one of the important temples of Bhaktapur. After witnessing a pillar with fine Garuda’s statue and big plinths, historians somehow assumed that it must be a grand temple. Though, today the temple is only one-storeyed but is able to protect the beautiful images of Jagannath.
The image of Jagannath
In the temple, the statue of Krishna is represented as Balbhadra Jagannath and is in Nil Varna which means Blue in colour. Likewise, the statue of Subhadra and Balaram( Baladev) are in Rakta Varna and Sweta Varna respectively.
Jagannath, Subhadra and baladev
As per the foundation of the temple, it is stated that it was built during the reign of King Prana Malla in N.S.663. Also, it was assumed to be built in Shikhara style.
However, we do now see the structure of the temple built after the quake of 1990."
26,The image of Chatur Narayan,27.67245,85.430346,Nepal,Bhaktapur,Heritage Site,"This image of Chatur Narayan (the four Narayan) is located right in front of the Jagannath temple of Tulachhen.  Most people tend to call this place, Markandaya Talau too, correlating to the Jagannath temple’s glory. By the style of the statue, it is assumed that it must be made during the 15th century.
The Lord Vishnu (Narayan) in this statue is in Samabhangaasan holding a lotus (Padma), the Indestructible Mace Of Lord Vishnu (Kaumodaki), a conch (Shankha) and the Unstoppable Disc Of Lord Vishnu (Sudarshana Chakra) in each of his four hands. Perhaps, because the place was once called a Talau (lake), the image of that Chatur Narayan is also worshipped as Jalhari. However,  to this day, regular puja is not conducted over there."
27,Digu Bhairava Temple,27.679148,85.385708,Nepal,Madhyapur Thimi,Heritage Site,"Digu Bhairava Temple is one of the most prominent temples of Digu tole, thimi. The locals worship Digu Bhairava as their linage deity. Thus, the southern door of the temple is always kept open for the populace while the other door (the eastern one) is open on bare occasions.
It is a two-storeyed temple made in N.S. 600 (B.S. 1536) and one can easily reach over there. All you need to do is follow the same main road of thimi. Nearby, you could also find the temple of Digu Ganesha, Brihaspati, Narayan, Mahadeva, Chaitya, Dabalis and Patis.
Well, on one of those pati, one of the famous jatras of thimi, the tongue piercing one takes place that in each year after the day of Yenya Punhi (Indra jatra). Also, the temple is whirled by the palanquins during Biska jatra, stating that it is one of the most important temples of Thimi."
28,Bakhachhen Mahadev Temple and Siwa Ganesh temple,27.677666,85.386782,Nepal,siwa tole,Heritage Site,"The inscription found near this, Bakhachhen Mahadev temple states that it was built in N.S. 561 (1498 B.S.) which also made this temple, the oldest heritage site of Thimi. It is situated at Siwatole of Thimi. Around 110m east from the main road of Thimi and Thimi Layaku area.
It is a two-storeyed temple made in the pagoda style, facing toward the west. The gold-glided pinnacle, Shivalinga and traditional roofing style of this temple give an obsolete faithful vibe. 
beautiful toran of Bakhachhen Mahadev temple
Nearby, there is another temple designed in the same outlet, named Siwa Ganesha temple. But, it is faced toward the south. By the architectural state, one can determine that it looks older than the other one.
However, it doesn’t end the number of temples located in that area. There is also a temple of Gaurishankhar, Bhairava, Siddhi Ganesha, Bu: Mahadyo (self emerged Mahadev), Golakhu Dyo (the nine deities) including various statues of god and goddesses which are both historically and culturally important.
Along with that, there is a pati, a dabali, Kunda (pond), dhungedhara (stone spout) and a chaitya.
Pati on the premises of Bakhachhen Mahadev and Siwa Ganesh temple
water spout near Siwa Ganesh temple
Source: Gantabya Madhyapur Thimi"
29,Gunakriti Mahavihar,27.679547,85.386079,Nepal,Madhyapur Thimi,Heritage Site,"Gunakriti Mahavihar is one of the ancient Vihars of Madhyapur Thimi. Being located at Digu Tole made it also called Digu Baha. To reach over there, all you have to do is follow the main road of thimi towards the north, until and at the end you see this Mahavihar on your right-hand side. 
Well, the inscriptions found here state that this Vihar is way older. As per the inscription, it was once renovated in N.S. 808. Likewise, the two golden images of Dipankar Buddha (one small and another big) was installed there in N.S. 684 (B.S.1621) and N.S. 689 (B.S. 1626).
Do you know that those images of Dipankar Buddha are roamed around in Thimi, Nagadesh and Bode on the day of Panchadan? That event is called Dipankar Jatra.
Besides, there is a  chaitya in this Mahavihar that is made anciently, recalling the lichhavi style of architecture. It apparently is the best thing to observe over there. However, there is one more statue of Bauddha Guru Padmasambhava which make this Vihar even more attractive.
Source: Gantabya Madhyapur thimi"
30,Vishnu Kunda (Sungaa Pukhu),27.67721,85.38384,Nepal,Yama,Heritage Site,"Vishnu Kunda or Sungaa Pukhu is a historical pond that remained dry for so long. But in the year, 2075 it was again restored traditionally.
Though this pond is not as big as Nigoo Pukhu, it had some sort of religious significance. In past, there used to hold a grand mela on the day of Gatha Muga cha: re.
This pond is about 600 m ahead (towards north) from Chardobato chowk. And, nearby there is a Compost Mal Kendra which produces agricultural chemicals using Japanese technology. That’s why many national and international groups visit this area for study purposes."
31,Shree 3 Vishnu Bir mai Temple (Sungaa Dyo),27.676203,85.384033,Nepal,Yama,Heritage Site,"Shree 3 Vishnu Bir Mai temple is one of the mattering temples of Thimi which is situated at Sungaa tole of Madhyapur Thimi. Perhaps, that’s why the temple is also called Sungaa Dyo. Or, maybe because of the name of Sungaa Dyo, the place started to call Sungaa Tole. 
Shree 3 Vishnu Bir Mai temple
Whatever the reason might be behind this naming but one thing is clear that this temple has a lot of significance. This temple is also called the temple of Vaishnavi, the shakti of Lord Vishnu.
Deities of Vishnu Bir Mai temple
During the Biska Jatra, the palanquin of this temple (the khat of Vishnu Bir) leads to the other five Ganesha’s palanquins. With that, there held a solo jatra of its called Vishnu Vir Khat Jatra at the end of the Baishak where its palanquin is roamed around the entire thimi. (Here, thimi is referring as the main thimi area)
The legends say that this temple was faced west and had 12 corners in the past. Meanwhile, today it is faced towards the east and is made in Gumbaj style. The temple houses unshaped images of God and Goddesses. In front of which, one can encounter a statue of Garuda, doing Namaste (adjoining hands position) and a hanging Pataah.
Hanging pataah of Vishnu Bir mai temple
Likewise, in the courtyard of this temple, you can find fine patis (resthouses) to perform daily rituals and Bhajans. There is a replica of Shiddhi kali on the northwest corner of the courtyard and a small image of Saraswoti.
Taking a western alley from Balkumari Temple would take approximately a few minutes of walk to reach over there."
32,Thimi Layaku,27.6774,85.386132,Nepal,Maru Tole,Heritage Site,"Because of the location of Thimi Layaku, which is situated beside the main road, it became very easy for the wanderers to locate it out. Going straight ahead toward north from Balkumari temple (157m) would eventually lead you toward Thimi Layaku.
Today, the layaku (palace) of Thimi is functioning as the Aadarsha Secondary School. Although it is functioning as a school, some portion of this area is still used for cultural activities. The activities regarding Bhairava Dance, Taleju and many other culture-related activities are conducted from here. That’s why it is also called the cultural centre of Thimi.
Besides the cultural values, this place seems important for religious purposes. Each year during Biska jatra the statues of Balkumari are put over there, who is the main deity of Sindoor jatra. Also, the courtyard which has the Taleju temple is remarkably attractive although the section is still under construction.
Thimi layaku courtyard under construction
taleju at thimi layaku
toran of taleju temple
one unique window at Taleju courtyard-thimi layaku
newly placed windows-thimi layaku"
